ID,TEA Random
2850,TEA Quindio - Columbia
969,TEA Deportes Pereira - Columbia
904,TEA Cucuta Deportivo - Columbia
449,TEA Beracruz - Columbia
2599,TEA Once Caldas - Columbia
271,TEA Atl Huila - Columbia
2294,TEA Millonarios - Columbia
3178,TEA Sante Fe - Columbia
170,TEA America de Cali - Columbia
276,TEA Atl Nacional - Columbia
